iter	RMSE
0	0.4715153636
1	0.4663656562
2	0.4617503664
3	0.4574312559
4	0.4536061462
5	0.4495301268
6	0.4460650514
7	0.4422266038
8	0.4388132917
9	0.4352153684
10	0.4323876534
11	0.4290415352
12	0.4259449244
13	0.4229513535
14	0.4204615357
15	0.4174587324
16	0.4151822777
17	0.4129447835
18	0.4104443884
19	0.407949709
20	0.4059181375
21	0.4038555328
22	0.4017494782
23	0.3994315646
24	0.3974464618
25	0.3953563363
26	0.3932462555
27	0.3913096792
28	0.3897407276
29	0.3877935683
30	0.385600365
31	0.3839024711
32	0.382522082
33	0.3808852837
34	0.3792101618
35	0.3780109885
36	0.3766389898
37	0.3752055317
38	0.3742986897
39	0.3733338316
40	0.3724814961
41	0.3711949819
42	0.3698642975
43	0.3685252933
44	0.3676006713
45	0.3664085629
46	0.3655551515
47	0.364542718
48	0.3637102678
49	0.3627077361
50	0.3615890166
51	0.3604359441
52	0.3593747728
53	0.358148103
54	0.3573940182
55	0.3567405871
56	0.3559770688
57	0.3551352222
58	0.3539591548
59	0.3527736494
60	0.3517052354
61	0.3509363461
62	0.3499703263
63	0.349026285
64	0.3480083801
65	0.3474584127
66	0.346947214
67	0.3464024257
68	0.3454931871
69	0.3448474995
70	0.3440262483
71	0.3432609419
72	0.3429270151
73	0.3421836106
74	0.3415984829
75	0.341134084
76	0.3402209519
77	0.3396755512
78	0.3390991603
79	0.3385472069
80	0.3380270737
81	0.3374334963
82	0.3371018617
83	0.3364757871
84	0.3354781114
85	0.3349499475
86	0.3344542585
87	0.3342466833
88	0.3337616858
89	0.3332641812
90	0.3324390844
91	0.331904283
92	0.3312989476
93	0.3304378078
94	0.3300419976
95	0.3296794409
96	0.328667251
97	0.3283487868
98	0.3276367968
99	0.3271350096
100	0.3265693071
101	0.3259780676
102	0.3257120365
103	0.3254108471
104	0.3246685477
105	0.3242000274
106	0.3236842915
107	0.323205897
108	0.3226310427
109	0.3220098381
110	0.3215107005
111	0.3211191952
112	0.3207884468
113	0.3203528908
114	0.3199227304
115	0.3196551998
116	0.3193032157
117	0.3190307746
118	0.3185037302
119	0.3181808054
120	0.3177728527
121	0.317746961
122	0.3175978805
123	0.3171278014
124	0.3167658361
125	0.3161719276
126	0.3159441627
127	0.3156178264
128	0.314861094
129	0.3144058758
130	0.3141394016
131	0.3135517114
132	0.3132602045
133	0.3124890833
134	0.3118329977
135	0.3113531071
136	0.3108304214
137	0.3104062625
138	0.3099932233
139	0.3094481814
140	0.3088887106
141	0.3085648703
142	0.3080259618
143	0.3072840399
144	0.30686384
145	0.3062187795
146	0.3059458502
147	0.3055534103
148	0.3049173659
149	0.304661999
150	0.304411848
151	0.303921397
152	0.3035271901
153	0.3029564755
154	0.3024973953
155	0.3020146501
156	0.3014904414
157	0.3011364916
158	0.3006698101
159	0.3001595669
160	0.2998244652
161	0.2994249416
162	0.2990128024
163	0.298934727
164	0.2984944457
165	0.2979348723
166	0.2976728166
167	0.2973892439
168	0.297047324
169	0.2967143658
170	0.296530885
171	0.2963026191
172	0.2960627077
173	0.2954681805
174	0.2951151616
175	0.2944747796
176	0.2941281217
177	0.2937671165
178	0.2931477053
179	0.292595923
180	0.2919961427
181	0.2918235654
182	0.2915534143
183	0.2910217179
184	0.2907068237
185	0.2903325002
186	0.2899284336
187	0.289471409
188	0.2891914016
189	0.2890350016
190	0.2885701279
191	0.2882060791
192	0.2877432812
193	0.2874963118
194	0.2873703699
195	0.2871634758
196	0.2870073927
197	0.2867838145
198	0.2863139038
199	0.2861136117
200	0.285987478
201	0.2854715772
202	0.2852886987
203	0.2851577471
204	0.2848860323
205	0.2845110499
206	0.2841978399
207	0.2840414988
208	0.2833600589
209	0.2830774081
210	0.2827575127
211	0.2821197532
212	0.2817186808
213	0.2814460619
214	0.2813064496
215	0.2809055283
216	0.2803608319
217	0.2800306491
218	0.2797176074
219	0.2794631449
220	0.2794009552
221	0.2792675024
222	0.2792052356
223	0.27899533
224	0.2787784899
225	0.2787380064
226	0.2785120817
227	0.2783008651
228	0.2780811679
229	0.2777008932
230	0.2774909865
231	0.2773078402
232	0.277135933
233	0.2766822788
234	0.2765724813
235	0.2761646268
236	0.2758160909
237	0.2756346728
238	0.2753068916
239	0.2752338145
240	0.2751833928
241	0.2749656946
242	0.2745984498
243	0.274395628
244	0.2741206535
245	0.2737595192
246	0.273639397
247	0.273552105
248	0.2731969379
249	0.27300949
250	0.272910146
251	0.2727872799
252	0.2723567733
253	0.2719560105
254	0.2717731709
255	0.2714397525
256	0.2711759154
257	0.2706213827
258	0.2704843176
259	0.2699620431
260	0.2698365318
261	0.2694589437
262	0.2692129049
263	0.2688497843
264	0.2688125114
265	0.2685544568
266	0.2681832948
267	0.2676976339
268	0.2676427442
269	0.2673493202
270	0.2670896422
271	0.2664116355
272	0.2661989092
273	0.2660877909
274	0.2656179457
275	0.265151764
276	0.2648162756
277	0.2644097385
278	0.2640399681
279	0.2634260927
280	0.2631816018
281	0.2628361021
282	0.2626795173
283	0.2625609419
284	0.2622518677
285	0.2618375538
286	0.2615274695
287	0.2612907519
288	0.2608788416
289	0.2602129733
290	0.2597294863
291	0.2594377766
292	0.2588868875
293	0.258308014
294	0.2580026926
295	0.2576403907
296	0.2573148351
297	0.2571773213
298	0.2569113225
299	0.2568851359
300	0.2567587878
301	0.2562379378
302	0.256077918
303	0.2560369374
304	0.2559230136
305	0.2557299854
306	0.2553017968
307	0.2551623636
308	0.2547503646
309	0.2545889426
310	0.2541135482
311	0.253899825
312	0.2535571537
313	0.2531794184
314	0.2525898214
315	0.2524936239
316	0.2522903818
317	0.2518217774
318	0.2516955434
319	0.2512057909
320	0.2510796615
321	0.2502349227
322	0.2497478403
323	0.2495468266
324	0.2490577933
325	0.2489249052
326	0.2487272644
327	0.2485036897
328	0.2483896516
329	0.2480812005
330	0.2479304831
331	0.2478040418
332	0.247469256
333	0.2469784496
334	0.2464854901
335	0.2459942197
336	0.2457171891
337	0.2455967948
338	0.2450784461
339	0.2448447805
340	0.2443492111
341	0.2441110663
342	0.2440887573
343	0.2439068212
344	0.2435750725
345	0.2432322405
346	0.2428413788
347	0.2424063277
348	0.2421910612
349	0.2418805835
350	0.2416822982
351	0.2412519466
352	0.2408567773
353	0.2403715625
354	0.2399195159
355	0.2397888859
356	0.2395131363
357	0.2393428132
358	0.2389802376
359	0.238711478
360	0.23831827
361	0.2380607025
362	0.2378739549
363	0.237641406
364	0.2373892646
365	0.2371990148
366	0.2367894687
367	0.2365646527
368	0.2364283064
369	0.2358669198
370	0.2355848963
371	0.2353541188
372	0.2351833688
373	0.2348739333
374	0.234503479
375	0.2342891928
376	0.2340616249
377	0.2335713079
378	0.2334227708
379	0.2332543155
380	0.2328780695
381	0.2324986131
382	0.2323973744
383	0.2321216445
384	0.2318933505
385	0.2316771437
386	0.2314044794
387	0.2312256499
388	0.2310217602
389	0.2308547319
390	0.2305572005
391	0.2302579802
392	0.2297854316
393	0.2294641774
394	0.2291817372
395	0.2291601532
396	0.2287592826
397	0.2284505567
398	0.2283071766
399	0.2281859691
400	0.2280193278
401	0.2274891672
402	0.2271152594
403	0.2267546993
404	0.2263962935
405	0.2262405255
406	0.2258336198
407	0.2256145316
408	0.2254243819
409	0.225288039
410	0.2248623602
411	0.2245407271
412	0.2243346089
413	0.2239442006
414	0.223348992
415	0.2230857083
416	0.2227493661
417	0.2223219481
418	0.2221280279
419	0.2218387095
420	0.2214880353
421	0.2212308003
422	0.2209113491
423	0.2206335595
424	0.2204862465
425	0.2200298509
426	0.2192967496
427	0.2191459035
428	0.2186638958
429	0.2183207299
430	0.2182549725
431	0.2179671354
432	0.2175602623
433	0.2173358357
434	0.2167346922
435	0.2165033519
436	0.2164195418
437	0.2162564215
438	0.2160024888
439	0.2157100231
440	0.2154404554
441	0.2154247838
442	0.2153479272
443	0.2150926949
444	0.2149210164
445	0.2147045037
446	0.2146574121
447	0.2144140305
448	0.2143285816
449	0.2142388719
450	0.2138758844
451	0.2136611753
452	0.2134538605
453	0.2132492782
454	0.2129469441
455	0.2126579796
456	0.2125173684
457	0.2123659033
458	0.2118301654
459	0.211610877
460	0.2112967341
461	0.2109284757
462	0.2107550313
463	0.2105822173
464	0.2102950046
465	0.2099149123
466	0.2096396379
467	0.2095112528
468	0.2093110797
469	0.2091203494
470	0.2087877219
471	0.2085162416
472	0.2083423735
473	0.2076477838
474	0.2074832112
475	0.2071996289
476	0.2067768216
477	0.2067575736
478	0.2066794323
479	0.2065082277
480	0.2060590248
481	0.2057086011
482	0.2055709906
483	0.2053433068
484	0.2049498882
485	0.2044704417
486	0.2040810135
487	0.203837217
488	0.203576418
489	0.2034915918
490	0.2032228463
491	0.2030499521
492	0.2026767406
493	0.2024465461
494	0.202331955
495	0.2020371025
496	0.2017147965
497	0.2012850093
498	0.2009526076
499	0.2006531088
500	0.2004212069
501	0.2004064779
502	0.200311592
503	0.2001207978
504	0.2001126349
505	0.1997453923
506	0.1995564677
507	0.1990938334
508	0.1988672092
509	0.1988129773
510	0.1985927861
511	0.1984468303
512	0.1983796877
513	0.1981498583
514	0.1980427341
515	0.1975861447
516	0.197276867
517	0.1971611326
518	0.196724672
519	0.1964442444
520	0.1960575504
521	0.1958614075
522	0.1955995898
523	0.1955397208
524	0.1953138789
525	0.1951151469
526	0.1949463654
527	0.1948730395
528	0.1948567852
529	0.1946030765
530	0.1943222428
531	0.1937574314
532	0.1934095139
533	0.1930393585
534	0.1928710716
535	0.1928143563
536	0.1924831996
537	0.1922963786
538	0.1919872671
539	0.1918761559
540	0.1917361047
541	0.1914092743
542	0.1911412059
543	0.1910563613
544	0.1910042896
545	0.1909039584
546	0.1904893902
547	0.1904137441
548	0.1901604069
549	0.1899792394
550	0.1899423137
551	0.1898594975
552	0.1897627924
553	0.1896029055
554	0.1894667094
555	0.1894071756
556	0.1892270516
557	0.1887713827
558	0.1887598426
559	0.188699081
560	0.1886093743
561	0.1884467344
562	0.1883451145
563	0.1878975585
564	0.1878896378
565	0.1876372168
566	0.187448395
567	0.1872468773
568	0.1868604787
569	0.1865807847
570	0.186412033
571	0.1861974385
572	0.1860143555
573	0.1858398661
574	0.1856026588
575	0.1853557827
576	0.185101661
577	0.1849132099
578	0.1848793053
579	0.1848390268
580	0.1848318202
581	0.1845584826
582	0.1842239159
583	0.1841068166
584	0.1838055495
585	0.1836926664
586	0.1836011076
587	0.1835076486
588	0.1833228411
589	0.183265689
590	0.1831862517
591	0.1829460681
592	0.1825669169
593	0.1823805829
594	0.1822596164
595	0.1821641531
596	0.1820679826
597	0.1820175513
598	0.1819420589
599	0.1817928743
600	0.1817880547
601	0.1817525365
602	0.1815975512
603	0.1815859051
604	0.1815451044
605	0.1813870457
606	0.1813520561
607	0.1812994263
608	0.1811804862
609	0.1809726668
610	0.180624321
611	0.1804973338
612	0.1804267808
613	0.1800409859
614	0.1798740618
615	0.1796156687
616	0.1793206071
617	0.1793160588
618	0.1792091018
619	0.179112428
