iter	Passed	Remaining
0	6	6349
1	16	8307
2	19	6612
3	23	5874
4	34	6845
5	40	6724
6	50	7198
7	55	6870
8	69	7646
9	83	8227
10	88	7926
11	96	7964
12	101	7719
13	113	8016
14	118	7799
15	126	7807
16	131	7604
17	136	7432
18	147	7592
19	151	7422
20	160	7471
21	163	7266
22	168	7154
23	177	7221
24	182	7120
25	189	7105
26	194	7008
27	199	6909
28	215	7210
29	222	7181
30	227	7100
31	232	7021
32	244	7162
33	250	7109
34	256	7067
35	266	7147
36	272	7091
37	283	7170
38	287	7080
39	297	7136
40	302	7085
41	307	7023
42	313	6977
43	318	6910
44	326	6938
45	331	6872
46	341	6922
47	345	6852
48	350	6802
49	358	6808
50	363	6757
51	373	6814
52	378	6765
53	387	6783
54	393	6753
55	397	6704
56	423	6998
57	427	6937
58	431	6879
59	442	6934
60	447	6886
61	458	6941
62	463	6890
63	474	6946
64	480	6910
65	485	6875
66	490	6825
67	501	6874
68	507	6852
69	515	6851
70	519	6801
71	524	6756
72	536	6810
73	540	6768
74	549	6773
75	553	6724
76	567	6799
77	572	6763
78	581	6775
79	587	6752
80	596	6767
81	600	6727
82	605	6684
83	611	6671
84	616	6636
85	638	6786
86	647	6793
87	652	6763
88	660	6764
89	666	6738
90	678	6772
91	682	6734
92	686	6697
93	698	6732
94	707	6738
95	712	6713
96	718	6685
97	728	6706
98	733	6671
99	746	6714
100	755	6722
101	761	6703
102	773	6737
103	778	6704
104	782	6668
105	788	6651
106	793	6619
107	802	6629
108	807	6598
109	820	6635
110	826	6618
111	840	6664
112	848	6658
113	852	6628
114	857	6600
115	869	6624
116	874	6596
117	883	6606
118	889	6585
119	901	6614
120	911	6620
121	912	6567
122	918	6546
123	923	6520
124	929	6504
125	937	6502
126	942	6475
127	946	6448
128	958	6471
129	963	6448
130	972	6451
131	977	6425
132	990	6459
133	1003	6487
134	1012	6490
135	1025	6512
136	1029	6487
137	1042	6513
138	1050	6507
139	1056	6487
140	1073	6542
141	1082	6540
142	1089	6526
143	1101	6544
144	1106	6525
145	1115	6522
146	1120	6503
147	1125	6479
148	1135	6487
149	1139	6459
150	1148	6457
151	1153	6436
152	1158	6412
153	1168	6418
154	1173	6397
155	1183	6401
156	1187	6374
157	1197	6379
158	1201	6354
159	1205	6328
160	1214	6330
161	1219	6308
162	1230	6320
163	1235	6298
164	1243	6293
165	1248	6271
166	1252	6246
167	1262	6253
168	1271	6250
169	1278	6243
170	1282	6218
171	1287	6195
172	1299	6209
173	1303	6189
174	1308	6170
175	1313	6150
176	1328	6175
177	1333	6158
178	1342	6157
179	1347	6137
180	1358	6145
181	1362	6123
182	1369	6113
183	1374	6096
184	1379	6076
185	1389	6082
186	1394	6061
187	1403	6060
188	1407	6040
189	1412	6022
190	1422	6025
191	1430	6019
192	1434	5996
193	1439	5978
194	1447	5977
195	1453	5960
196	1470	5995
197	1479	5991
198	1484	5973
199	1488	5953
200	1497	5952
201	1502	5935
202	1510	5929
203	1516	5915
204	1520	5895
205	1530	5900
206	1535	5881
207	1542	5875
208	1548	5861
209	1553	5844
210	1564	5848
211	1568	5831
212	1579	5836
213	1584	5817
214	1596	5828
215	1600	5807
216	1607	5800
217	1611	5782
218	1615	5762
219	1627	5770
